央视频道,#genre#
CTi News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
FTV News,https://ythls.armelin.one/channel/UC2VmWn8dAqkzlQqvy02E1PA.m3u8
Global News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
SET iNews,https://ythls.armelin.one/channel/UCoNYj9OFHZn3ACmmeRCPwbA.m3u8
TTV News,https://ythls.armelin.one/channel/UC8ROUUjHzEQm-ndb69CX8Ww.m3u8
mnews,https://ythls.armelin.one/channel/UC4LjkybVKXCDlneVXlKAbmw.m3u8
ET Mall 60,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV18.m3u8
寰宇新闻台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
东森财经新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
Momo 1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV04.m3u8
Momo 2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV05.m3u8
信大,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV07.m3u8
DW,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV08.m3u8
中视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
NU,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV10.m3u8
NU2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV14.m3u8
华视HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
JP1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV15.m3u8
KPop,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV16.m3u8
民视新闻HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
17,http://61.221.215.25:8800/hls/36/index.m3u8
20,http://61.221.215.25:8800/hls/39/index.m3u8
21,http://61.221.215.25:8800/hls/40/index.m3u8
22,http://61.221.215.25:8800/hls/41/index.m3u8
23,http://61.221.215.25:8800/hls/42/index.m3u8
24,http://61.221.215.25:8800/hls/43/index.m3u8
25,http://61.221.215.25:8800/hls/44/index.m3u8
26,http://61.221.215.25:8800/hls/45/index.m3u8
27,http://61.221.215.25:8800/hls/46/index.m3u8
28,http://61.221.215.25:8800/hls/47/index.m3u8
29,http://61.221.215.25:8800/hls/48/index.m3u8
30,http://61.221.215.25:8800/hls/49/index.m3u8
31,http://61.221.215.25:8800/hls/50/index.m3u8
32,http://61.221.215.25:8800/hls/51/index.m3u8
35,http://61.221.215.25:8800/hls/54/index.m3u8
36,http://61.221.215.25:8800/hls/55/index.m3u8
37,http://61.221.215.25:8800/hls/56/index.m3u8
38,http://61.221.215.25:8800/hls/57/index.m3u8
39,http://61.221.215.25:8800/hls/58/index.m3u8
41,http://61.221.215.25:8800/hls/60/index.m3u8
114,http://38.64.72.148:80/hls/modn/list/2003/chunklist1.m3u8
